,smart_1_raw,smart_2_raw,smart_3_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_8_raw,smart_9_raw,smart_10_raw,smart_11_raw,smart_12_raw,smart_13_raw,smart_15_raw,smart_16_raw,smart_17_raw,smart_18_raw,smart_22_raw,smart_23_raw,smart_24_raw,smart_168_raw,smart_170_raw,smart_173_raw,smart_174_raw,smart_175_raw,smart_177_raw,smart_179_raw,smart_180_raw,smart_181_raw,smart_182_raw,smart_183_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_189_raw,smart_190_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_196_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_200_raw,smart_201_raw,smart_202_raw,smart_206_raw,smart_210_raw,smart_218_raw,smart_220_raw,smart_222_raw,smart_223_raw,smart_224_raw,smart_225_raw,smart_226_raw,smart_231_raw,smart_232_raw,smart_233_raw,smart_234_raw,smart_235_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_245_raw,smart_247_raw,smart_248_raw,smart_250_raw,smart_251_raw,smart_252_raw,smart_254_raw,smart_255_raw,smart_27_raw,smart_71_raw,smart_82_raw,smart_90_raw,smart_160_raw,smart_161_raw,smart_163_raw,smart_164_raw,smart_165_raw,smart_166_raw,smart_167_raw,smart_169_raw,smart_171_raw,smart_172_raw,smart_176_raw,smart_178_raw,smart_230_raw,smart_244_raw,smart_246_raw,smart_211_raw,smart_212_raw,failure
1538,186883048.0,,0.0,7.0,0.0,849519103.0,,36159.0,0.0,,7.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,17180131333.0,,40.0,,0.0,2879.0,40.0,186883048.0,,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,35708.0,122702528984.0,461713908142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1539,13335200.0,,0.0,11.0,0.0,855882693.0,,36156.0,0.0,,11.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,4295032833.0,,36.0,,1.0,2851.0,36.0,13335200.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,35689.0,122045127416.0,464151212950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1540,41812584.0,,0.0,14.0,0.0,134307573.0,,41953.0,0.0,,14.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,29.0,,1.0,2428.0,29.0,41812584.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,41640.0,123549615280.0,646756996710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1541,242543024.0,,0.0,10.0,0.0,627733851.0,,41950.0,0.0,,10.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,4295032833.0,,34.0,,1.0,2397.0,34.0,242543024.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,41653.0,123115313264.0,692313834366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1542,15480504.0,,0.0,6.0,0.0,241570135.0,,36158.0,0.0,,6.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,33.0,,1.0,1793.0,33.0,15480504.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,35932.0,132486224208.0,407816048323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1543,125565488.0,,0.0,11.0,0.0,365527893.0,,45519.0,0.0,,11.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,22.0,,506.0,2241.0,22.0,125565488.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,45222.0,128023275712.0,553987928730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1544,58046456.0,,0.0,15.0,0.0,501919521.0,,39784.0,0.0,,15.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,33.0,,5.0,2594.0,33.0,58046456.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,39288.0,123304563904.0,392625709621.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1545,102760448.0,,0.0,6.0,0.0,10497376.0,,24373.0,0.0,,6.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,22.0,,1.0,1512.0,22.0,102760448.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,24041.0,70412822728.0,293951139025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1546,72396792.0,,0.0,8.0,0.0,725214525.0,,18822.0,0.0,,8.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,28.0,,2.0,2268.0,28.0,72396792.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,18048.0,79291180760.0,339732188088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1547,145345880.0,,0.0,9.0,0.0,89236724.0,,22781.0,0.0,,9.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,23.0,,2.0,2042.0,23.0,145345880.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,22206.0,69420319736.0,269352603422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1548,171264960.0,,0.0,5.0,0.0,135285541.0,,26798.0,0.0,,5.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,41.0,,1.0,2334.0,41.0,171264960.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,26418.0,99499929712.0,335486698054.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1549,217697192.0,,0.0,13.0,0.0,724551884.0,,29802.0,0.0,,13.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,36.0,,2.0,1499.0,36.0,217697192.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,29608.0,98441865576.0,631269277242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1550,145417320.0,,0.0,16.0,0.0,447105378.0,,42701.0,0.0,,15.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,27.0,,2.0,3377.0,27.0,145417320.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,42129.0,131332131664.0,813639136432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1551,228348800.0,,0.0,13.0,0.0,372133573.0,,43918.0,0.0,,13.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,28.0,,3.0,10696.0,28.0,228348800.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,42191.0,122557074088.0,599840144102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1552,149393616.0,,0.0,11.0,0.0,182279534.0,,42605.0,0.0,,9.0,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,32.0,,1.0,3114.0,32.0,149393616.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,42152.0,130430567888.0,779876950788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
