smart_5_raw_max,smart_5_raw_mean,smart_5_raw_cv,smart_5_raw_diff_mean,smart_5_raw_diff_max,smart_5_raw_diff_std,smart_5_raw_slope,smart_5_raw_skew,smart_5_raw_kurt,smart_5_raw_last,smart_187_raw_max,smart_187_raw_mean,smart_187_raw_cv,smart_187_raw_diff_mean,smart_187_raw_diff_max,smart_187_raw_diff_std,smart_187_raw_slope,smart_187_raw_skew,smart_187_raw_kurt,smart_187_raw_last,smart_188_raw_max,smart_188_raw_mean,smart_188_raw_cv,smart_188_raw_diff_mean,smart_188_raw_diff_max,smart_188_raw_diff_std,smart_188_raw_slope,smart_188_raw_skew,smart_188_raw_kurt,smart_188_raw_last,smart_198_raw_max,smart_198_raw_mean,smart_198_raw_cv,smart_198_raw_diff_mean,smart_198_raw_diff_max,smart_198_raw_diff_std,smart_198_raw_slope,smart_198_raw_skew,smart_198_raw_kurt,smart_198_raw_last,smart_197_raw_max,smart_197_raw_mean,smart_197_raw_cv,smart_197_raw_diff_mean,smart_197_raw_diff_max,smart_197_raw_diff_std,smart_197_raw_slope,smart_197_raw_skew,smart_197_raw_kurt,smart_197_raw_last,smart_241_raw_max,smart_241_raw_mean,smart_241_raw_cv,smart_241_raw_diff_mean,smart_241_raw_diff_max,smart_241_raw_diff_std,smart_241_raw_slope,smart_241_raw_skew,smart_241_raw_kurt,smart_241_raw_last,smart_12_raw_max,smart_12_raw_mean,smart_12_raw_cv,smart_12_raw_diff_mean,smart_12_raw_diff_max,smart_12_raw_diff_std,smart_12_raw_slope,smart_12_raw_skew,smart_12_raw_kurt,smart_12_raw_last,smart_7_raw_max,smart_7_raw_mean,smart_7_raw_cv,smart_7_raw_diff_mean,smart_7_raw_diff_max,smart_7_raw_diff_std,smart_7_raw_slope,smart_7_raw_skew,smart_7_raw_kurt,smart_7_raw_last,smart_4_raw_max,smart_4_raw_mean,smart_4_raw_cv,smart_4_raw_diff_mean,smart_4_raw_diff_max,smart_4_raw_diff_std,smart_4_raw_slope,smart_4_raw_skew,smart_4_raw_kurt,smart_4_raw_last,smart_193_raw_max,smart_193_raw_mean,smart_193_raw_cv,smart_193_raw_diff_mean,smart_193_raw_diff_max,smart_193_raw_diff_std,smart_193_raw_slope,smart_193_raw_skew,smart_193_raw_kurt,smart_193_raw_last,smart_190_raw_max,smart_190_raw_mean,smart_190_raw_cv,smart_190_raw_diff_mean,smart_190_raw_diff_max,smart_190_raw_diff_std,smart_190_raw_slope,smart_190_raw_skew,smart_190_raw_kurt,smart_190_raw_last,failure,serial_number
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26736597760.0,25930005474.285713,0.020125435653449025,210894394.66666666,479344704.0,183212905.22786614,210894394.66666666,0.7277669800177625,-1.2147905116281095,26736597760.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,270131011.0,259725105.85714287,0.027274032983331392,3127643.0,5396776.0,1679382.2478484164,3127643.0,0.3992195568072247,-1.3696456520079083,270131011.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,158.0,155.14285714285714,0.013119527485059861,1.0,2.0,0.6324555320336759,1.0,-0.10164903816009868,-0.5043995243757458,158.0,29.0,28.428571428571427,0.018802298425999706,0.0,1.0,0.6324555320336759,0.0,0.37416573867740616,-2.7999999999999914,29.0,0,ZHZ07RNQ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27453427160.0,26442253907.42857,0.02577808380379788,315019045.3333333,451975152.0,113294671.7464805,315019045.3333333,0.16499013142897426,-1.114158711579515,27453427160.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,277721554.0,264447735.42857143,0.033715109137169456,4123578.6666666665,5868411.0,1506130.6367813738,4123578.6666666665,0.1792323227090217,-1.086208271280678,277721554.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,160.0,156.57142857142858,0.014213286430106963,1.0,2.0,1.0954451150103321,1.0,0.2488754864140155,-0.9443786982248641,160.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0,ZHZ085SK
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27598144032.0,26632695740.57143,0.026326843684664453,321983424.0,449865520.0,108442542.08599693,321983424.0,0.0599110156757371,-1.2508385842194896,27598144032.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,277939523.0,265522050.85714287,0.03391322897830405,4150723.8333333335,5844548.0,1406736.8606313574,4150723.8333333335,0.058107967025411766,-1.2123834166066212,277939523.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,159.0,156.42857142857142,0.01422626660036277,1.0,2.0,1.0954451150103321,1.0,-0.24887548641401558,-0.944378698224865,159.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,ZHZ08A28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27392946960.0,26499353128.0,0.021546994059241986,270407368.0,430678064.0,150772471.9091857,270407368.0,0.35598601236816996,-0.7888956126074049,27392946960.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,277882060.0,265175324.85714287,0.0321669815182959,3962906.8333333335,5730437.0,1538930.8812090836,3962906.8333333335,0.1625992839171948,-1.045709655604906,277882060.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,161.0,157.71428571428572,0.014042289799798897,1.0,2.0,0.8944271909999159,1.0,-0.013151493208687224,-0.9220284663964557,161.0,39.0,38.857142857142854,0.009727026878913938,0.0,1.0,0.6324555320336759,0.0,-2.645751311064555,6.999999999999826,39.0,0,ZHZ08KC5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42582356230.0,37366704451.71429,0.10765037328136816,1892765921.3333333,2805755560.0,649110547.005268,1892765921.3333333,-0.24438664669194102,-0.8832938190152593,42582356230.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,87292909.0,77628213.71428572,0.09619941666438606,3515135.6666666665,5332417.0,1326651.2864044819,3515135.6666666665,-0.24851279827140782,-0.879768185864112,87292909.0,1613.0,1613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.0,1634.0,1631.5714285714287,0.0012184937539122729,0.8333333333333334,2.0,0.983192080250175,0.8333333333333334,0.1199934939042599,-1.6491508201481095,1634.0,39.0,37.42857142857143,0.040393149787245654,0.6666666666666666,3.0,2.4221202832779936,0.6666666666666666,-0.6200979635307693,-0.8093749999999922,39.0,0,ZHZ096WB
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23542712576.0,23505484291.42857,0.0013608831073749815,15097906.666666666,31175240.0,8750549.382184656,15097906.666666666,-0.5849249877307661,-0.4214147096768093,23542712576.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45954569.0,31103799.85714286,0.3786118698016701,5217372.833333333,9698890.0,2410766.5329034594,5217372.833333333,-0.16240570471544505,-1.6465261879297173,45954569.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,10.428571428571429,0.22045858821138467,1.1666666666666667,2.0,0.9831920802501751,1.1666666666666667,0.07053386532986557,-0.1298758217677145,14.0,33.0,32.285714285714285,0.01511349670495516,-0.16666666666666666,1.0,0.752772652709081,-0.16666666666666666,1.22963409191516,-0.8399999999999803,32.0,0,ZHZ0B0MV
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27390454960.0,26456498369.142857,0.02637859766502148,320223476.0,438086200.0,107770983.65515132,320223476.0,-0.029367017751250852,-1.2379271526854358,27390454960.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,274441060.0,262364385.85714287,0.03397008976942872,4107097.1666666665,5606105.0,1293044.9456400836,4107097.1666666665,-0.002090689943457267,-1.205727683221535,274441060.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,160.0,157.28571428571428,0.01308868684300169,1.0,2.0,0.8944271909999159,1.0,-0.37331955469541644,-0.5816689811892557,160.0,27.0,26.142857142857142,0.014457657437511423,0.0,1.0,0.6324555320336759,0.0,2.6457513110645965,7.000000000000032,26.0,0,ZHZ0B0VZ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27566352016.0,26595144916.57143,0.024287548893823886,301346769.3333333,433961672.0,106115924.60578106,301346769.3333333,0.22082791009482836,-1.034937176192411,27566352016.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,276412699.0,263096924.0,0.03388916108656297,4117773.6666666665,5817810.0,1510806.5003477668,4117773.6666666665,0.2159259195563945,-1.1166044381779017,276412699.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,243.0,240.0,0.009001028747788695,1.0,1.0,0.0,1.0,0.0,-1.2000000000000002,243.0,25.0,24.857142857142858,0.01520546730496891,0.0,1.0,0.6324555320336759,0.0,-2.645751311064596,7.000000000000034,25.0,0,ZHZ0BMQA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4402008392.0,2290095850.285714,0.7185354242976542,733668065.3333334,1107273712.0,256838747.64801657,733668065.3333334,-0.07589787385861468,-1.4927882359816271,4402008392.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4259187.0,2226648.8571428573,0.7038338932487527,709729.0,1013719.0,251074.6095231455,709729.0,-0.08227377464611875,-1.3536929372720659,4259187.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,7.857142857142857,0.32388822341545187,1.1666666666666667,3.0,1.1690451944500122,1.1666666666666667,-0.03293867583501557,-0.6276384083044997,11.0,25.0,24.714285714285715,0.030586720359128208,0.3333333333333333,2.0,0.816496580927726,0.3333333333333333,-2.645751311064597,7.000000000000039,25.0,0,ZHZ0BS1X
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27559178008.0,26647482469.714287,0.025594211361856342,313562017.3333333,444713128.0,116037166.63684288,313562017.3333333,-0.0445677815435508,-1.2408106280521256,27559178008.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,272566952.0,260554519.0,0.03419884748762582,4101888.3333333335,5608339.0,1396881.2160421752,4101888.3333333335,-0.01158683883919329,-1.2164893603315425,272566952.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,156.0,153.42857142857142,0.01450443382439221,1.0,2.0,1.0954451150103321,1.0,-0.24887548641401558,-0.944378698224865,156.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0,ZHZ0BSGH
